run_number,ideal_target,raw_hardware_val,mitigated_ml_val,raw_absolute_error,mitigated_absolute_error
1,0.9999999999999991,0.8046875,1.0,0.1953124999999991,8.881784197001252e-16
2,0.9999999999999991,0.8025415444770283,1.0,0.1974584555229708,8.881784197001252e-16
3,0.9999999999999991,0.8005865102639296,1.0,0.19941348973606954,8.881784197001252e-16
4,0.9999999999999991,0.787109375,1.0,0.2128906249999991,8.881784197001252e-16
5,0.9999999999999991,0.7849462365591398,1.0,0.21505376344085936,8.881784197001252e-16
6,0.9999999999999991,0.810546875,1.0,0.1894531249999991,8.881784197001252e-16
7,0.9999999999999991,0.0,0.997801661491394,0.9999999999999991,0.002198338508605069
8,0.9999999999999991,0.7888563049853372,1.0,0.2111436950146619,8.881784197001252e-16
9,0.9999999999999991,0.78515625,1.0,0.2148437499999991,8.881784197001252e-16
10,0.9999999999999991,0.7890625,1.0,0.2109374999999991,8.881784197001252e-16
11,0.9999999999999991,0.80078125,1.0,0.1992187499999991,8.881784197001252e-16
12,0.9999999999999991,0.79296875,1.0,0.2070312499999991,8.881784197001252e-16
13,0.9999999999999991,0.78125,1.0,0.2187499999999991,8.881784197001252e-16
14,0.9999999999999991,0.916015625,1.0,0.08398437499999911,8.881784197001252e-16
15,0.9999999999999991,0.802734375,1.0,0.1972656249999991,8.881784197001252e-16
16,0.9999999999999991,0.798828125,1.0,0.2011718749999991,8.881784197001252e-16
17,0.9999999999999991,-0.00390625,0.993929922580719,1.0039062499999991,0.006070077419280118
18,0.9999999999999991,0.80078125,1.0,0.1992187499999991,8.881784197001252e-16
19,0.9999999999999991,0.791015625,1.0,0.2089843749999991,8.881784197001252e-16
20,0.9999999999999991,0.7966764418377321,1.0,0.203323558162267,8.881784197001252e-16
21,0.9999999999999991,0.787109375,1.0,0.2128906249999991,8.881784197001252e-16
22,0.9999999999999991,0.7890625,1.0,0.2109374999999991,8.881784197001252e-16
23,0.9999999999999991,0.7890625,1.0,0.2109374999999991,8.881784197001252e-16
24,0.9999999999999991,0.7890625,1.0,0.2109374999999991,8.881784197001252e-16
25,0.9999999999999991,0.78515625,1.0,0.2148437499999991,8.881784197001252e-16
26,0.9999999999999991,0.78515625,1.0,0.2148437499999991,8.881784197001252e-16
27,0.9999999999999991,0.775390625,1.0,0.2246093749999991,8.881784197001252e-16
28,0.9999999999999991,0.783203125,1.0,0.2167968749999991,8.881784197001252e-16
29,0.9999999999999991,0.794921875,1.0,0.2050781249999991,8.881784197001252e-16
30,0.9999999999999991,0.0,0.997801661491394,0.9999999999999991,0.002198338508605069
